"job_title","seniority_level","status","location","post_date","industry","ownership","company_size","revenue","salary","skills","salary_clean","salary_min","salary_max","salary_num","salary_usd"
NA,"midlevel",NA,"Barcelona, Catalonia, Spain","7 days ago","Technology",NA,"900","900","28,068","['git', 'r', 'python', 'linux', 'bash']","28068",28068,NA,28068,31587.7272
"data scientist","senior","on-site","Toronto, Ontario, Canada","3 days ago","Technology","Private","26,070","26,070","83,298 - 124,946","['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']","83298 - 124946",83298,NA,83298,93743.5692
"data scientist","senior","hybrid","Foster City, CA . Hybrid","3 years ago","Technology","Private","1,790","1,790","198,201 - 269,440","[]","198201 - 269440",198201,NA,198201,223055.4054
"data scientist","senior","hybrid","San Francisco, CA, US . Seattle, WA, US . Hybrid","19 days ago","Technology","Public","5,260","5,260","260,211","[]","260211",260211,NA,260211,292841.4594
"data scientist","lead",NA,"United States","a month ago","Technology","Private","210","210","114,355","['pytorch', 'spark', 'scikit-learn', 'python', 'neural network', 'machine learning', 'deep learning', 'tensorflow']","114355",114355,NA,114355,128695.117
"data scientist","midlevel","on-site","Cambridge, MA","15 days ago","Technology","Public","9,070",NA,"144,311 - 198,198","['r', 'python', 'sql', 'machine learning', 'tableau']","144311 - 198198",144311,NA,144311,162407.5994
"data scientist","senior",NA,"Atlanta, GA","20 days ago","Technology","Public","9,030","9,030","105,035","['sql', 'machine learning', 'tableau', 'python']","105035",105035,NA,105035,118206.389
"data scientist","senior","remote","United States . Fully Remote","2 months ago","Technology","Private","60","60","155,272 - 164,406","['sql', 'machine learning', 'tableau', 'python']","155272 - 164406",155272,NA,155272,174743.1088
"data scientist","senior","on-site","San Diego, CA","9 days ago","Technology","Public","41,020","41,020","140,661","['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']","140661",140661,NA,140661,158299.8894
"data scientist","senior","hybrid","Toronto, Ontario, Canada . Montreal, Quebec, Canada . Hybrid","8 days ago","Finance","Public","26,040",NA,"73,739","['machine learning', 'r', 'python']","73739",73739,NA,73739,82985.8706
"data scientist","senior","hybrid","New York, NY . Hybrid","6 days ago","Technology","Public","5,050","5,050","135,178 - 168,971","[]","135178 - 168971",135178,NA,135178,152129.3212
"data scientist","senior","on-site",NA,"14 days ago","Technology","Private","990","990","228,515","[]","228515",228515,NA,228515,257170.781
"data scientist","senior",NA,"New York, NY","8 days ago","Finance","Public","2,290",NA,"137,007 - 159,840","['aws', 'git', 'python', 'sql', 'machine learning']","137007 - 159840",137007,NA,137007,154187.6778
"machine learning engineer","senior",NA,"Seattle, WA","15 days ago","Technology","Private","3,810","3,810","162,184 - 227,055","['pandas', 'pytorch', 'aws', 'python', 'docker', 'machine learning', 'kubernetes', 'deep learning', 'azure', 'tensorflow']","162184 - 227055",162184,NA,162184,182521.8736
"data scientist","senior","hybrid","McLean, VA . Hybrid","8 days ago","Technology","Public","24,040",NA,"92,833 - 172,402","['java', 'machine learning', 'r', 'python']","92833 - 172402",92833,NA,92833,104474.2582
"data scientist","lead","on-site","Seattle, Washington, United States . On-site","12 days ago","Technology","Private","46","46","210,070 - 228,336","[]","210070 - 228336",210070,NA,210070,236412.778
"data scientist","senior",NA,"Warsaw, Mazowieckie, Poland . Prague, Prague, Czechia . Kyiv, Kyiv City, Ukraine","3 months ago","Technology","Private","330","330","67,594 - 86,774","['pandas', 'pytorch', 'r', 'python', 'machine learning', 'tensorflow']","67594 - 86774",67594,NA,67594,76070.2876
"data scientist","senior","on-site",NA,"3 months ago","Technology","Private","5","5","123,307 - 191,806","[]","123307 - 191806",123307,NA,123307,138769.6978
"data scientist","senior","on-site","San Francisco, California, United States . On-site","20 days ago","Finance","Private","950","950","219,199 - 273,999","[]","219199 - 273999",219199,NA,219199,246686.5546
"data scientist",NA,NA,"Bangalore, Karnataka","5 months ago","Technology","Private","750","750","41,302","[]","41302",41302,NA,41302,46481.2708
"data scientist","senior","hybrid","Toronto, Ontario, Canada . Hybrid","7 days ago","Technology","Public","23,860","23,860","75,128 - 79,194","['sql', 'tableau', 'python']","75128 - 79194",75128,NA,75128,84549.0512
"data scientist","senior","on-site","Rock Island, IL . On-site","3 months ago","Technology","Public","28,840",NA,"77,667 - 129,442","['scikit-learn', 'r', 'python', 'java', 'machine learning']","77667 - 129442",77667,NA,77667,87406.4418
"data scientist","midlevel",NA,"Cambridge, England, United Kingdom","8 days ago","Education",NA,"10,933","10,933","31,175","[]","31175",31175,NA,31175,35084.345
"data scientist","midlevel","remote","Oregon, United States . Fully Remote","4 days ago","Manufacturing","Public","99,620","99,620","19,420 - 98,368","['pandas', 'powerbi', 'r', 'python', 'sql', 'neural network', 'machine learning', 'deep learning', 'tableau']","19420 - 98368",19420,NA,19420,21855.268
"machine learning engineer","senior",NA,"Pune, Maharashtra, India","4 days ago","Logistics","Private","38,090","38,090","26,757","['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']","26757",26757,NA,26757,30112.3278
"data scientist","senior",NA,"Denver, CO","8 days ago","Finance","Public","2,300",NA,"137,005 - 159,838","['aws', 'git', 'python', 'sql', 'machine learning']","137005 - 159838",137005,NA,137005,154185.427
"data scientist","senior","on-site","San Francisco, California, United States . On-site","a month ago","Technology","Private","420","420","148,808","[]","148808",148808,NA,148808,167468.5232
"data scientist","lead","on-site","Charlotte, NC","8 days ago","Retail","Public","118,910",NA,"101,935 - 193,633","['sql', 'deep learning', 'machine learning']","101935 - 193633",101935,NA,101935,114717.649
"data scientist","senior","hybrid","Bengaluru, Karnataka, India . Hybrid","a month ago","Finance","Public","68,400",NA,"24,205","['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']","24205",24205,NA,24205,27240.307
"data scientist","senior",NA,"Chennai, Tamil Nadu, India","2 days ago","Technology","Public","187,540","187,540","13,886","['pandas', 'numpy', 'pytorch', 'powerbi', 'git', 'scikit-learn', 'python', 'java', 'sql', 'neural network', 'gcp', 'machine learning', 'matplotlib', 'tensorflow']","13886",13886,NA,13886,15627.3044
"data scientist","senior","on-site","Menlo Park, CA . On-site","15 days ago","Finance","Public","3,810","3,810","163,491 - 191,804","[]","163491 - 191804",163491,NA,163491,183992.7714
"data scientist","midlevel",NA,"Berkeley, CA","15 days ago","Education",NA,"17,451","17,451","82,193 - 122,141","['machine learning', 'database']","82193 - 122141",82193,NA,82193,92500.0022
"data scientist","senior","remote","Remote, United States . Fully Remote","a month ago","Technology","Private","1,290","1,290","134,541 - 174,088","[]","134541 - 174088",134541,NA,134541,151412.4414
"data scientist","senior","on-site","Rock Island, IL . On-site","3 months ago","Technology","Public","28,810",NA,"77,671 - 129,446","['scikit-learn', 'r', 'python', 'java', 'machine learning']","77671 - 129446",77671,NA,77671,87410.9434
"data scientist","senior","remote","San Francisco, CA, US . Remote, US . Fully Remote","4 days ago","Technology","Public","5,320","5,320","306,623","[]","306623",306623,NA,306623,345073.5242
"data scientist","senior",NA,"United States","15 days ago","Finance","Private","30","30","28,501","[]","28501",28501,NA,28501,32075.0254
"data scientist","senior","remote",NA,"a day ago","Technology","Public","5,550","5,550","255,732","[]","255732",255732,NA,255732,287800.7928
"data scientist",NA,"remote",NA,"8 days ago","Finance","Private","45","45","91,335 - 228,333","[]","91335 - 228333",91335,NA,91335,102788.409
"data scientist","senior",NA,"Pittsburgh, PA","7 days ago","Technology","Public","103,070","103,070","96,819","['python', 'java', 'sql', 'kubernetes', 'azure']","96819",96819,NA,96819,108960.1026
"data scientist","senior","on-site","Seattle, WA . Seattle, Washington, États-Unis . Seattle, Washington, USA","a month ago","Retail","Public","865,416","865,416","219,201","['amazon', 'r', 'python', 'machine learning', 'deep learning']","219201",219201,NA,219201,246688.8054
"machine learning engineer",NA,"on-site","Taipei, Taiwan . On-site","a day ago","Technology","Private","530","530","36,340","[]","36340",36340,NA,36340,40897.036
"data scientist","senior","hybrid","Denver, CO . Hybrid","a month ago","Technology","Private","900","900","138,833","['spark', 'r', 'python', 'database', 'machine learning']","138833",138833,NA,138833,156242.6582
"data scientist","senior","remote","Fort Worth, TX","a month ago","Technology","Public","108,670","108,670","100,470 - 132,436","['machine learning']","100470 - 132436",100470,NA,100470,113068.938
"data scientist","senior","hybrid","Austin, Texas . Hybrid","a day ago","Technology","Public","2,760",NA,"200,936","[]","200936",200936,NA,200936,226133.3744
"data scientist","senior","hybrid","Toronto, ON . Hybrid","11 days ago","Finance","Private","780","780","153,442 - 210,981","[]","153442 - 210981",153442,NA,153442,172683.6268
"data scientist","senior",NA,"Orlando, FL","5 days ago","Finance","Public","14,090","14,090","88,185","['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']","88185",88185,NA,88185,99243.399
"data scientist","senior","on-site","United States","15 days ago","Technology","Private","900","900","203,676 - 253,909","['pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'deep learning', 'java', 'sql', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'tensorflow']","203676 - 253909",203676,NA,203676,229216.9704
"data scientist","lead","remote","All, MO","15 days ago","Technology","Public","2,570",NA,"146,133 - 182,666","['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']","146133 - 182666",146133,NA,146133,164458.0782
"machine learning engineer",NA,"on-site","Mountain View, California (HQ) . On-site","8 days ago","Technology","Private","900","900","138,826 - 208,239","[]","138826 - 208239",138826,NA,138826,156234.7804
"data scientist","senior","on-site","Reston, VA","4 days ago","Technology","Private","21,690","21,690","167,600 - 225,989","['aws', 'git', 'python', 'java', 'kubernetes', 'machine learning']","167600 - 225989",167600,NA,167600,188617.04
"data scientist","senior","remote",NA,"2 months ago","Technology","Private","900","900","133,351 - 155,271","[]","133351 - 155271",133351,NA,133351,150073.2154
"data scientist","senior","hybrid","Redwood City, US, California . Hybrid","2 months ago","Technology","Private","2,010","2,010","149,786 - 195,453","[]","149786 - 195453",149786,NA,149786,168569.1644
"data scientist","senior","on-site","Veldhoven, North Brabant, Netherlands . On-site","21 days ago","Technology","Public","24,780","24,780","82,371","['r']","82371",82371,NA,82371,92700.3234
"data scientist","senior","remote",NA,"4 days ago","Technology","Public","4,080","4,080","224,774","[]","224774",224774,NA,224774,252960.6596
"data scientist","senior",NA,"Ridgefield, CT","10 days ago","Technology","Public","52,060",NA,"127,874 - 202,766","['pytorch', 'git', 'scikit-learn', 'python', 'docker', 'kubernetes', 'machine learning', 'tensorflow']","127874 - 202766",127874,NA,127874,143909.3996
"data scientist","senior",NA,"Pune, Maharashtra, India","15 days ago","Technology","Public","524,608","524,608","27,274 - 52,695","['pandas', 'pytorch', 'r', 'python', 'java', 'database', 'keras', 'machine learning', 'matplotlib', 'tensorflow']","27274 - 52695",27274,NA,27274,30694.1596
"data scientist",NA,"on-site","San Mateo, CA . On-site","a month ago","Technology","Private","126","126","109,602 - 123,302","[]","109602 - 123302",109602,NA,109602,123346.0908
"data scientist","senior","on-site",NA,"11 days ago","Technology","Public","2,790",NA,"117,189 - 185,414","[]","117189 - 185414",117189,NA,117189,131884.5006
"data scientist","senior","on-site","Omaha, NE . Newport Beach, CA . Massachusetts, United States","a month ago","Finance","Public","4,010",NA,"149,445 - 182,654","['scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']","149445 - 182654",149445,NA,149445,168185.403
"data scientist","senior","on-site","Torrance, CA","3 days ago","Technology","Public","10,100","10,100","63,942","['spark', 'r', 'python', 'hadoop', 'machine learning']","63942",63942,NA,63942,71960.3268
"data scientist","senior","hybrid","Los Angeles, CA . United States . San Francisco, CA . Hybrid","20 days ago","Technology","Private","150","150","182,668 - 214,634","['amazon']","182668 - 214634",182668,NA,182668,205574.5672
"data scientist","midlevel","remote","San Francisco, CA","8 days ago","Technology","Public","1,290",NA,"90,877 - 141,566","['tableau', 'sql', 'r', 'python']","90877 - 141566",90877,NA,90877,102272.9758
"data scientist","senior","hybrid","Navi Mumbai, Maharashtra, India . Hybrid","a month ago","Finance","Public","9,920",NA,"15,542","['pandas', 'numpy', 'pytorch', 'scikit-learn', 'python', 'docker', 'scipy', 'sql', 'machine learning', 'deep learning', 'matplotlib', 'tensorflow']","15542",15542,NA,15542,17490.9668
"data scientist","senior","hybrid","Tallinn, Harjumaa, Estonia . Hybrid","15 days ago","Technology","Private","3,770","3,770","61,772","['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'airflow', 'sql', 'machine learning', 'deep learning']","61772",61772,NA,61772,69518.2088
"data scientist","senior","on-site","New York, NY","8 days ago","Retail","Public","130,040","130,040","137,004","['machine learning']","137004",137004,NA,137004,154184.3016
"data scientist","senior",NA,"Fairfax, VA","2 months ago","Technology","Public","97,010","97,010","171,892 - 257,744","['pytorch', 'git', 'python', 'machine learning', 'keras', 'deep learning', 'tensorflow']","171892 - 257744",171892,NA,171892,193447.2568
"data scientist","senior","hybrid","New York, NY . Hybrid","8 days ago","Technology","Public","830","830","45,674 - 105,040","['database', 'sql', 'aws', 'python']","45674 - 105040",45674,NA,45674,51401.5196
"data scientist","midlevel",NA,"United States","a month ago","Technology","Private","15","15","137,007 - 164,407","['amazon', 'spark', 'python', 'airflow', 'machine learning']","137007 - 164407",137007,NA,137007,154187.6778
"data scientist","senior","on-site","Phoenix, AZ","3 days ago","Energy","Public","35,020","35,020","82,201","['powerbi', 'aws', 'r', 'python', 'sql', 'machine learning']","82201",82201,NA,82201,92509.0054
"data scientist",NA,"hybrid",NA,"7 months ago","Finance","Private","890","890","158,920 - 237,831","[]","158920 - 237831",158920,NA,158920,178848.568
"data scientist",NA,"on-site","Bengaluru, Karnataka, India . On-site","22 days ago","Technology","Private","180","180","27,409","[]","27409",27409,NA,27409,30846.0886
"data scientist","lead","hybrid","Austin, TX . Hybrid","15 days ago","Technology","Public","19,470","19,470","109,605","['java', 'sql', 'python']","109605",109605,NA,109605,123349.467
"data scientist","lead","hybrid","Cincinnati, OH . Chicago, IL . Hybrid","a day ago","Technology","Private","1,230","1,230","199,795","[]","199795",199795,NA,199795,224849.293
"data scientist","senior","on-site","Manassas, VA","14 days ago","Technology","Public","40,060","40,060","94,077 - 118,737","['aws', 'python', 'linux', 'sql', 'gcp', 'hadoop']","94077 - 118737",94077,NA,94077,105874.2558
"data scientist","senior",NA,"Bengaluru, Karnataka, India","8 days ago","Technology","Private","1,270","1,270","639,348","['spark', 'aws', 'python', 'sql', 'gcp', 'deep learning', 'tensorflow', 'tableau']","639348",639348,NA,639348,719522.2392
"data analyst","midlevel",NA,"Eindhoven, North Brabant, Netherlands","15 days ago","Healthcare","Public","82,020",NA,"69,047","['python']","69047",69047,NA,69047,77705.4938
"data scientist","senior",NA,"Cincinnati, OH","5 days ago","Technology","Public","222,500",NA,"135,179","['azure', 'aws', 'machine learning', 'python']","135179",135179,NA,135179,152130.4466
"machine learning engineer",NA,"on-site","San Francisco, CA . Seattle, WA . New York, NY . On-site","13 days ago","Technology","Private","580","580","200,939 - 296,838","[]","200939 - 296838",200939,NA,200939,226136.7506
"data scientist","lead","hybrid","Bengaluru, Karnataka, India . Hybrid","8 days ago","Technology","Private","900","900","19,096","['spark', 'r', 'python', 'java', 'sql', 'machine learning']","19096",19096,NA,19096,21490.6384
"data scientist","senior",NA,"Raleigh-Durham-Chapel Hill Area","2 days ago","Technology","Public","10,010",NA,"99,560","['spark', 'aws', 'r', 'python', 'machine learning', 'hadoop', 'deep learning']","99560",99560,NA,99560,112044.824
"data scientist","senior","hybrid","McLean, VA . Hybrid","5 days ago","Technology","Public","24,030",NA,"92,838 - 172,407","['java', 'machine learning', 'r', 'python']","92838 - 172407",92838,NA,92838,104479.8852
"data scientist",NA,"remote",NA,"7 days ago","Retail","Private","12,300","12,300","137,001","[]","137001",137001,NA,137001,154180.9254
"data scientist","senior","on-site","Rochester, New York Metropolitan Area","22 days ago","Education",NA,"9,320","9,320","55,196 - 77,273","['deep learning', 'machine learning']","55196 - 77273",55196,NA,55196,62117.5784
"data scientist","senior","on-site","Denver, CO","15 days ago","Healthcare","Public","24,020","24,020","68,685 - 100,834","['pytorch', 'aws', 'r', 'python', 'docker', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']","68685 - 100834",68685,NA,68685,77298.099
"data scientist","senior","hybrid","Greater São Paulo Area . Hybrid","22 days ago","Technology","Public","26,910","26,910","50,222","['sql', 'r', 'python']","50222",50222,NA,50222,56519.8388
"data scientist","midlevel","on-site","Mettawa, IL","6 days ago","Healthcare","Public","49,360","49,360","137,003","[]","137003",137003,NA,137003,154183.1762
"data scientist","senior","on-site","South San Francisco, CA . On-site","25 days ago","Healthcare","Public","78,750","78,750","124,219","['machine learning', 'r', 'python']","124219",124219,NA,124219,139796.0626
"data scientist","senior","remote","United States","5 days ago","Technology","Public","27,450",NA,"95,586 - 172,785","['machine learning', 'r', 'python']","95586 - 172785",95586,NA,95586,107572.4844
"data scientist","lead","on-site","San Antonio, TX","15 days ago","Finance","Private","33,030","33,030","137,008","['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']","137008",137008,NA,137008,154188.8032
"data scientist","senior","remote","United States . Fully Remote","a day ago","Technology","Private","30","30","137,002 - 155,268","['sql', 'machine learning', 'tableau', 'python']","137002 - 155268",137002,NA,137002,154182.0508
"data scientist","senior",NA,"Mississauga, Ontario, Canada","5 days ago","Healthcare","Public","93,560","93,560","74,130","['gcp', 'git', 'r']","74130",74130,NA,74130,83425.902
"data scientist","senior","hybrid","Manchester, England, United Kingdom . Hybrid","2 months ago","Technology","Private","180","180","95,906 - 105,039","['pytorch', 'aws', 'scikit-learn', 'scipy', 'machine learning', 'gcp', 'azure', 'tensorflow']","95906 - 105039",95906,NA,95906,107932.6124
"data scientist",NA,"on-site","Bowie, MD . On-site","8 days ago","Technology","Public","2,820",NA,"101,149 - 110,282","[]","101149 - 110282",101149,NA,101149,113833.0846
"data scientist","senior","on-site","Plano, TX . On-site","15 days ago","Finance","Public","290,800","290,800","86,772 - 196,371","['pytorch', 'machine learning', 'tensorflow', 'python']","86772 - 196371",86772,NA,86772,97653.2088
"data scientist","midlevel",NA,"Arlington, VA","8 days ago","Finance","Private","23,320","23,320","173,540","['spark', 'python', 'docker', 'java', 'sql', 'machine learning', 'kubernetes', 'hadoop', 'deep learning']","173540",173540,NA,173540,195301.916
"data scientist","lead",NA,"New York, NY","4 days ago","Healthcare","Private","76,020","76,020","171,458 - 238,990","['powerbi', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'tensorflow', 'tableau']","171458 - 238990",171458,NA,171458,192958.8332
"data scientist","lead","hybrid","San Francisco, CA . Hybrid","5 days ago","Healthcare","Private","500","500","258,704","[]","258704",258704,NA,258704,291145.4816
"data scientist","senior",NA,"Chicago, IL","9 days ago","Healthcare","Public","2,520",NA,"63,935 - 86,768","['powerbi', 'r', 'python', 'sql', 'database', 'hadoop', 'tableau']","63935 - 86768",63935,NA,63935,71952.449
"data scientist",NA,"on-site","Charlotte, NC . On-site","8 days ago","Technology","Private","3,760","3,760","123,305 - 137,005","[]","123305 - 137005",123305,NA,123305,138767.447
"data scientist","senior","on-site","San Francisco, CA . On-site","4 days ago","Technology","Private","150","150","155,274","['sql', 'machine learning', 'r', 'python']","155274",155274,NA,155274,174745.3596
"data scientist","senior","hybrid","Foster City, CA . Hybrid","6 days ago","Finance","Public","21,050","21,050","120,561 - 192,988","['pytorch', 'spark', 'r', 'python', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']","120561 - 192988",120561,NA,120561,135679.3494
"machine learning engineer","senior","hybrid","Vancouver, British Columbia, Canada . Hybrid","a month ago","Technology","Public","25,940","25,940","59,371 - 63,938","['pytorch', 'machine learning', 'tensorflow', 'python']","59371 - 63938",59371,NA,59371,66816.1234
"data scientist","senior","on-site","Alameda, CA","7 days ago","Healthcare","Public","103,540","103,540","79,187","['spark', 'r', 'python', 'scala', 'linux', 'java', 'hadoop', 'machine learning']","79187",79187,NA,79187,89117.0498
"data scientist","senior",NA,"Berlin, Berlin, Germany","8 days ago","Technology","Private","3,780","3,780","98,643","['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'airflow', 'machine learning']","98643",98643,NA,98643,111012.8322
"data scientist","senior",NA,"Singapore, Singapore","7 days ago","Finance","Public","30,870",NA,"67,044","['pytorch', 'git', 'python', 'machine learning', 'tensorflow']","67044",67044,NA,67044,75451.3176
"data scientist","senior",NA,"Boston, MA . Newark, DE . Tampa, FL . Kennesaw, GA . Plano, TX + 8 More","a month ago","Finance","Public","274,280","274,280","150,707 - 224,869","['python', 'java', 'sql', 'hadoop', 'machine learning']","150707 - 224869",150707,NA,150707,169605.6578
"data scientist","lead",NA,"New York, NY","2 months ago","Healthcare","Public","300,070","300,070","131,706 - 263,408","['sql', 'python']","131706 - 263408",131706,NA,131706,148221.9324
