job_title,seniority_level,status,location,post_date,industry,ownership,company_size,revenue,salary_clean,avg_salary_usd,skills
machine learning engineer,senior,NA,"Pune, Maharashtra, India",4 days ago,Logistics,Private,"38,090","38,090",26757,30112.3278,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']"
data scientist,senior,NA,"Denver, CO",8 days ago,Finance,Public,"2,300",NA,137005 - 159838,154185.427,"['aws', 'git', 'python', 'sql', 'machine learning']"
data scientist,senior,on-site,"San Francisco, California, United States . On-site",a month ago,Technology,Private,420,420,148808,167468.5232,[]
data scientist,lead,on-site,"Charlotte, NC",8 days ago,Retail,Public,"118,910",NA,101935 - 193633,114717.64899999999,"['sql', 'deep learning', 'machine learning']"
data scientist,senior,hybrid,"Bengaluru, Karnataka, India . Hybrid",a month ago,Finance,Public,"68,400",NA,24205,27240.307,"['pytorch', 'aws', 'python', 'sql', 'gcp', 'azure', 'tensorflow']"
data scientist,senior,NA,"Chennai, Tamil Nadu, India",2 days ago,Technology,Public,"187,540","187,540",13886,15627.304399999999,"['pandas', 'numpy', 'pytorch', 'powerbi', 'git', 'scikit-learn', 'python', 'java', 'sql', 'neural network', 'gcp', 'machine learning', 'matplotlib', 'tensorflow']"
data scientist,senior,on-site,"Menlo Park, CA . On-site",15 days ago,Finance,Public,"3,810","3,810",163491 - 191804,183992.7714,[]
data scientist,midlevel,NA,"Berkeley, CA",15 days ago,Education,NA,"17,451","17,451",82193 - 122141,92500.0022,"['machine learning', 'database']"
data scientist,senior,remote,"Remote, United States . Fully Remote",a month ago,Technology,Private,"1,290","1,290",134541 - 174088,151412.44139999998,[]
data scientist,senior,on-site,"Rock Island, IL . On-site",3 months ago,Technology,Public,"28,810",NA,77671 - 129446,87410.9434,"['scikit-learn', 'r', 'python', 'java', 'machine learning']"
data scientist,senior,remote,"San Francisco, CA, US . Remote, US . Fully Remote",4 days ago,Technology,Public,"5,320","5,320",306623,345073.5242,[]
data scientist,senior,NA,United States,15 days ago,Finance,Private,30,30,28501,32075.0254,[]
data scientist,senior,remote,NA,a day ago,Technology,Public,"5,550","5,550",255732,287800.7928,[]
data scientist,NA,remote,NA,8 days ago,Finance,Private,45,45,91335 - 228333,102788.409,[]
data scientist,senior,NA,"Pittsburgh, PA",7 days ago,Technology,Public,"103,070","103,070",96819,108960.1026,"['python', 'java', 'sql', 'kubernetes', 'azure']"
data scientist,senior,on-site,"Seattle, WA . Seattle, Washington, États-Unis . Seattle, Washington, USA",a month ago,Retail,Public,"865,416","865,416",219201,246688.80539999998,"['amazon', 'r', 'python', 'machine learning', 'deep learning']"
machine learning engineer,NA,on-site,"Taipei, Taiwan . On-site",a day ago,Technology,Private,530,530,36340,40897.036,[]
data scientist,senior,hybrid,"Denver, CO . Hybrid",a month ago,Technology,Private,900,900,138833,156242.6582,"['spark', 'r', 'python', 'database', 'machine learning']"
data scientist,senior,remote,"Fort Worth, TX",a month ago,Technology,Public,"108,670","108,670",100470 - 132436,113068.938,['machine learning']
data scientist,senior,hybrid,"Austin, Texas . Hybrid",a day ago,Technology,Public,"2,760",NA,200936,226133.3744,[]
data scientist,senior,hybrid,"Toronto, ON . Hybrid",11 days ago,Finance,Private,780,780,153442 - 210981,172683.6268,[]
data scientist,senior,NA,"Orlando, FL",5 days ago,Finance,Public,"14,090","14,090",88185,99243.39899999999,"['spark', 'r', 'python', 'sql', 'hadoop', 'machine learning']"
data scientist,senior,on-site,United States,15 days ago,Technology,Private,900,900,203676 - 253909,229216.9704,"['pytorch', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'deep learning', 'java', 'sql', 'machine learning', 'gcp', 'kubernetes', 'hadoop', 'azure', 'tensorflow']"
data scientist,lead,remote,"All, MO",15 days ago,Technology,Public,"2,570",NA,146133 - 182666,164458.0782,"['aws', 'scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']"
machine learning engineer,NA,on-site,"Mountain View, California (HQ) . On-site",8 days ago,Technology,Private,900,900,138826 - 208239,156234.7804,[]
data scientist,senior,on-site,"Reston, VA",4 days ago,Technology,Private,"21,690","21,690",167600 - 225989,188617.03999999998,"['aws', 'git', 'python', 'java', 'kubernetes', 'machine learning']"
data scientist,senior,remote,NA,2 months ago,Technology,Private,900,900,133351 - 155271,150073.2154,[]
data scientist,senior,hybrid,"Redwood City, US, California . Hybrid",2 months ago,Technology,Private,"2,010","2,010",149786 - 195453,168569.16439999998,[]
data scientist,senior,on-site,"Veldhoven, North Brabant, Netherlands . On-site",21 days ago,Technology,Public,"24,780","24,780",82371,92700.3234,['r']
data scientist,senior,remote,NA,4 days ago,Technology,Public,"4,080","4,080",224774,252960.65959999998,[]
data scientist,senior,NA,"Ridgefield, CT",10 days ago,Technology,Public,"52,060",NA,127874 - 202766,143909.3996,"['pytorch', 'git', 'scikit-learn', 'python', 'docker', 'kubernetes', 'machine learning', 'tensorflow']"
data scientist,senior,NA,"Pune, Maharashtra, India",15 days ago,Technology,Public,"524,608","524,608",27274 - 52695,30694.1596,"['pandas', 'pytorch', 'r', 'python', 'java', 'database', 'keras', 'machine learning', 'matplotlib', 'tensorflow']"
data scientist,NA,on-site,"San Mateo, CA . On-site",a month ago,Technology,Private,126,126,109602 - 123302,123346.09079999999,[]
data scientist,senior,on-site,NA,11 days ago,Technology,Public,"2,790",NA,117189 - 185414,131884.5006,[]
data scientist,senior,on-site,"Omaha, NE . Newport Beach, CA . Massachusetts, United States",a month ago,Finance,Public,"4,010",NA,149445 - 182654,168185.403,"['scikit-learn', 'python', 'sql', 'machine learning', 'tensorflow']"
data scientist,senior,on-site,"Torrance, CA",3 days ago,Technology,Public,"10,100","10,100",63942,71960.3268,"['spark', 'r', 'python', 'hadoop', 'machine learning']"
data scientist,senior,hybrid,"Los Angeles, CA . United States . San Francisco, CA . Hybrid",20 days ago,Technology,Private,150,150,182668 - 214634,205574.5672,['amazon']
data scientist,midlevel,remote,"San Francisco, CA",8 days ago,Technology,Public,"1,290",NA,90877 - 141566,102272.9758,"['tableau', 'sql', 'r', 'python']"
data scientist,senior,hybrid,"Navi Mumbai, Maharashtra, India . Hybrid",a month ago,Finance,Public,"9,920",NA,15542,17490.9668,"['pandas', 'numpy', 'pytorch', 'scikit-learn', 'python', 'docker', 'scipy', 'sql', 'machine learning', 'deep learning', 'matplotlib', 'tensorflow']"
data scientist,senior,hybrid,"Tallinn, Harjumaa, Estonia . Hybrid",15 days ago,Technology,Private,"3,770","3,770",61772,69518.2088,"['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'docker', 'airflow', 'sql', 'machine learning', 'deep learning']"
data scientist,senior,on-site,"New York, NY",8 days ago,Retail,Public,"130,040","130,040",137004,154184.3016,['machine learning']
data scientist,senior,NA,"Fairfax, VA",2 months ago,Technology,Public,"97,010","97,010",171892 - 257744,193447.2568,"['pytorch', 'git', 'python', 'machine learning', 'keras', 'deep learning', 'tensorflow']"
data scientist,senior,hybrid,"New York, NY . Hybrid",8 days ago,Technology,Public,830,830,45674 - 105040,51401.5196,"['database', 'sql', 'aws', 'python']"
data scientist,midlevel,NA,United States,a month ago,Technology,Private,15,15,137007 - 164407,154187.6778,"['amazon', 'spark', 'python', 'airflow', 'machine learning']"
data scientist,senior,on-site,"Phoenix, AZ",3 days ago,Energy,Public,"35,020","35,020",82201,92509.0054,"['powerbi', 'aws', 'r', 'python', 'sql', 'machine learning']"
data scientist,NA,hybrid,NA,7 months ago,Finance,Private,890,890,158920 - 237831,178848.568,[]
data scientist,NA,on-site,"Bengaluru, Karnataka, India . On-site",22 days ago,Technology,Private,180,180,27409,30846.0886,[]
data scientist,lead,hybrid,"Austin, TX . Hybrid",15 days ago,Technology,Public,"19,470","19,470",109605,123349.46699999999,"['java', 'sql', 'python']"
data scientist,lead,hybrid,"Cincinnati, OH . Chicago, IL . Hybrid",a day ago,Technology,Private,"1,230","1,230",199795,224849.293,[]
data scientist,senior,on-site,"Manassas, VA",14 days ago,Technology,Public,"40,060","40,060",94077 - 118737,105874.2558,"['aws', 'python', 'linux', 'sql', 'gcp', 'hadoop']"
data scientist,senior,NA,"Bengaluru, Karnataka, India",8 days ago,Technology,Private,"1,270","1,270",639348,719522.2392,"['spark', 'aws', 'python', 'sql', 'gcp', 'deep learning', 'tensorflow', 'tableau']"
data analyst,midlevel,NA,"Eindhoven, North Brabant, Netherlands",15 days ago,Healthcare,Public,"82,020",NA,69047,77705.4938,['python']
data scientist,senior,NA,"Cincinnati, OH",5 days ago,Technology,Public,"222,500",NA,135179,152130.4466,"['azure', 'aws', 'machine learning', 'python']"
machine learning engineer,NA,on-site,"San Francisco, CA . Seattle, WA . New York, NY . On-site",13 days ago,Technology,Private,580,580,200939 - 296838,226136.7506,[]
data scientist,lead,hybrid,"Bengaluru, Karnataka, India . Hybrid",8 days ago,Technology,Private,900,900,19096,21490.6384,"['spark', 'r', 'python', 'java', 'sql', 'machine learning']"
data scientist,senior,NA,Raleigh-Durham-Chapel Hill Area,2 days ago,Technology,Public,"10,010",NA,99560,112044.824,"['spark', 'aws', 'r', 'python', 'machine learning', 'hadoop', 'deep learning']"
data scientist,senior,hybrid,"McLean, VA . Hybrid",5 days ago,Technology,Public,"24,030",NA,92838 - 172407,104479.88519999999,"['java', 'machine learning', 'r', 'python']"
data scientist,NA,remote,NA,7 days ago,Retail,Private,"12,300","12,300",137001,154180.9254,[]
data scientist,senior,on-site,"Rochester, New York Metropolitan Area",22 days ago,Education,NA,"9,320","9,320",55196 - 77273,62117.5784,"['deep learning', 'machine learning']"
data scientist,senior,on-site,"Denver, CO",15 days ago,Healthcare,Public,"24,020","24,020",68685 - 100834,77298.099,"['pytorch', 'aws', 'r', 'python', 'docker', 'scikit-learn', 'sql', 'machine learning', 'gcp', 'deep learning', 'azure', 'tensorflow']"
data scientist,senior,hybrid,Greater São Paulo Area . Hybrid,22 days ago,Technology,Public,"26,910","26,910",50222,56519.8388,"['sql', 'r', 'python']"
data scientist,midlevel,on-site,"Mettawa, IL",6 days ago,Healthcare,Public,"49,360","49,360",137003,154183.1762,[]
data scientist,senior,on-site,"South San Francisco, CA . On-site",25 days ago,Healthcare,Public,"78,750","78,750",124219,139796.0626,"['machine learning', 'r', 'python']"
data scientist,senior,remote,United States,5 days ago,Technology,Public,"27,450",NA,95586 - 172785,107572.4844,"['machine learning', 'r', 'python']"
data scientist,lead,on-site,"San Antonio, TX",15 days ago,Finance,Private,"33,030","33,030",137008,154188.8032,"['spark', 'r', 'python', 'sql', 'machine learning', 'hadoop', 'deep learning']"
data scientist,senior,remote,United States . Fully Remote,a day ago,Technology,Private,30,30,137002 - 155268,154182.0508,"['sql', 'machine learning', 'tableau', 'python']"
data scientist,senior,NA,"Mississauga, Ontario, Canada",5 days ago,Healthcare,Public,"93,560","93,560",74130,83425.902,"['gcp', 'git', 'r']"
data scientist,senior,hybrid,"Manchester, England, United Kingdom . Hybrid",2 months ago,Technology,Private,180,180,95906 - 105039,107932.6124,"['pytorch', 'aws', 'scikit-learn', 'scipy', 'machine learning', 'gcp', 'azure', 'tensorflow']"
data scientist,NA,on-site,"Bowie, MD . On-site",8 days ago,Technology,Public,"2,820",NA,101149 - 110282,113833.0846,[]
data scientist,senior,on-site,"Plano, TX . On-site",15 days ago,Finance,Public,"290,800","290,800",86772 - 196371,97653.2088,"['pytorch', 'machine learning', 'tensorflow', 'python']"
data scientist,midlevel,NA,"Arlington, VA",8 days ago,Finance,Private,"23,320","23,320",173540,195301.916,"['spark', 'python', 'docker', 'java', 'sql', 'machine learning', 'kubernetes', 'hadoop', 'deep learning']"
data scientist,lead,NA,"New York, NY",4 days ago,Healthcare,Private,"76,020","76,020",171458 - 238990,192958.8332,"['powerbi', 'r', 'python', 'scikit-learn', 'sql', 'machine learning', 'tensorflow', 'tableau']"
data scientist,lead,hybrid,"San Francisco, CA . Hybrid",5 days ago,Healthcare,Private,500,500,258704,291145.4816,[]
data scientist,senior,NA,"Chicago, IL",9 days ago,Healthcare,Public,"2,520",NA,63935 - 86768,71952.449,"['powerbi', 'r', 'python', 'sql', 'database', 'hadoop', 'tableau']"
data scientist,NA,on-site,"Charlotte, NC . On-site",8 days ago,Technology,Private,"3,760","3,760",123305 - 137005,138767.447,[]
data scientist,senior,on-site,"San Francisco, CA . On-site",4 days ago,Technology,Private,150,150,155274,174745.3596,"['sql', 'machine learning', 'r', 'python']"
data scientist,senior,hybrid,"Foster City, CA . Hybrid",6 days ago,Finance,Public,"21,050","21,050",120561 - 192988,135679.3494,"['pytorch', 'spark', 'r', 'python', 'scikit-learn', 'machine learning', 'deep learning', 'tensorflow']"
machine learning engineer,senior,hybrid,"Vancouver, British Columbia, Canada . Hybrid",a month ago,Technology,Public,"25,940","25,940",59371 - 63938,66816.1234,"['pytorch', 'machine learning', 'tensorflow', 'python']"
data scientist,senior,on-site,"Alameda, CA",7 days ago,Healthcare,Public,"103,540","103,540",79187,89117.0498,"['spark', 'r', 'python', 'scala', 'linux', 'java', 'hadoop', 'machine learning']"
data scientist,senior,NA,"Berlin, Berlin, Germany",8 days ago,Technology,Private,"3,780","3,780",98643,111012.83219999999,"['pandas', 'numpy', 'spark', 'aws', 'scikit-learn', 'python', 'airflow', 'machine learning']"
data scientist,senior,NA,"Singapore, Singapore",7 days ago,Finance,Public,"30,870",NA,67044,75451.3176,"['pytorch', 'git', 'python', 'machine learning', 'tensorflow']"
data scientist,senior,NA,"Boston, MA . Newark, DE . Tampa, FL . Kennesaw, GA . Plano, TX + 8 More",a month ago,Finance,Public,"274,280","274,280",150707 - 224869,169605.6578,"['python', 'java', 'sql', 'hadoop', 'machine learning']"
data scientist,lead,NA,"New York, NY",2 months ago,Healthcare,Public,"300,070","300,070",131706 - 263408,148221.9324,"['sql', 'python']"
data scientist,midlevel,on-site,"San Diego, CA . On-site",5 days ago,Healthcare,Public,"78,720","78,720",115539 - 181846,130027.5906,"['aws', 'git', 'r', 'python', 'java', 'machine learning', 'database', 'azure', 'matplotlib']"
data scientist,senior,on-site,"Redmond, WA",a month ago,Technology,Public,"94,540","94,540",121475 - 255734,136707.965,"['sql', 'machine learning', 'r', 'python']"
data scientist,lead,hybrid,NA,a month ago,Technology,Private,360,360,294100,330980.14,[]
data scientist,NA,on-site,"San Francisco, California . On-site",8 days ago,Technology,Private,500,500,127874 - 155273,143909.3996,[]
machine learning engineer,senior,NA,"Pune, Maharashtra, India",2 days ago,Logistics,Private,"38,130","38,130",26760,30115.703999999998,"['spark', 'aws', 'powerbi', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning', 'azure']"
data scientist,midlevel,remote,"Annapolis Junction, MD . Annapolis, MD . Fully Remote",a month ago,Technology,Private,60,60,109600 - 182666,123343.84,"['linux', 'machine learning', 'python']"
data scientist,senior,remote,"Rosemont, IL",5 days ago,Healthcare,Public,"28,070",NA,68501 - 109601,77091.0254,"['git', 'r', 'python', 'bash', 'sql', 'machine learning', 'deep learning']"
data scientist,lead,hybrid,"New York, NY . Hybrid",a month ago,Finance,Public,"68,430",NA,137002,154182.0508,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'hadoop']"
data scientist,senior,NA,"Hyderabad, Telangana, India",10 days ago,Technology,Public,"40,050","40,050",24621,27708.4734,"['pytorch', 'r', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow', 'tableau']"
data scientist,junior,NA,"Bengaluru, Karnataka, India",a month ago,Technology,Public,"222,040","222,040",10055,11315.896999999999,"['deep learning', 'machine learning']"
data scientist,senior,on-site,"Chantilly, VA . On-site",a month ago,Technology,Public,"26,030","26,030",114171,128488.0434,"['aws', 'azure']"
data scientist,senior,NA,"Pune, Maharashtra, India",8 days ago,Finance,Public,"68,160","68,160",29949 - 41758,33704.6046,"['powerbi', 'aws', 'python', 'sql', 'machine learning', 'tableau']"
data scientist,senior,NA,"Bengaluru, Karnataka, India",5 days ago,Technology,Public,"261,060","261,060",9583,10784.7082,"['aws', 'r', 'python', 'sql', 'neural network', 'gcp', 'azure']"
data scientist,senior,on-site,"Orlando, FL",a month ago,Technology,Public,"108,650","108,650",68500,77089.9,['machine learning']
data scientist,senior,remote,"Bengaluru, Karnataka, India",3 months ago,Technology,Private,"15,440","15,440",36104,40631.4416,"['spark', 'python', 'sql', 'machine learning', 'deep learning', 'tensorflow']"
data scientist,senior,hybrid,"Montreal, Quebec, Canada . Hybrid",5 days ago,Technology,Private,31,31,55906,62916.6124,"['pandas', 'numpy', 'pytorch', 'aws', 'scikit-learn', 'python', 'sql', 'machine learning']"
data scientist,midlevel,hybrid,"Lebanon, NH . Hybrid",17 days ago,Healthcare,Public,613,NA,81293 - 108937,91487.1422,"['machine learning', 'python']"
data scientist,midlevel,on-site,"Veldhoven, North Brabant, Netherlands . On-site",8 days ago,Technology,Public,"24,820","24,820",82373,92702.5742,['python']
data scientist,senior,remote,United States,15 days ago,Healthcare,Public,"1,020",NA,88140 - 136089,99192.756,"['sql', 'azure', 'r', 'python']"
data scientist,senior,NA,"New York, NY",22 days ago,Technology,Public,"11,060",NA,114175 - 118741,128492.545,"['aws', 'git', 'python', 'sql', 'gcp', 'machine learning']"
data scientist,senior,on-site,"Annapolis Junction, MD",a month ago,Technology,Private,45,45,178100 - 210980,200433.74,"['sql', 'machine learning', 'r', 'python']"
data scientist,senior,NA,"Budapest, Budapest, Hungary",a month ago,Finance,Public,"88,990","88,990",27403,30839.336199999998,"['machine learning', 'python']"
data scientist,midlevel,remote,"Fort Meade, MD . Fort Meade, Maryland, Birleşik Devletler . Fully Remote",3 months ago,Technology,Private,90,90,127871 - 178103,143906.0234,"['sql', 'machine learning', 'r', 'python']"
data scientist,senior,on-site,"Mountain View, CA",15 days ago,Technology,Public,"182,338","182,338",171712 - 277840,193244.6848,"['sql', 'python']"
data scientist,senior,NA,"Bengaluru, Karnataka, India",19 days ago,Technology,Private,"3,540","3,540",19234,21645.9436,"['pytorch', 'aws', 'git', 'python', 'docker', 'gcp', 'azure', 'tensorflow']"
data scientist,lead,on-site,Antwerp Metropolitan Area,2 days ago,Technology,Public,"20,070",NA,90697,102070.4038,"['powerbi', 'tableau']"
